imageurl,genre,imdbid,title,imdbrating,released,synopsis,type
"https://m.media-amazon.com/images/M/MV5BMDk5Yzc4NzMtODUwOS00NTdhLTg2MjEtZTkzZjc0ZWE2MzAwXkEyXkFqcGdeQXVyMTA3MTA4Mzgw._V1_UX182_CR0,0,182,268_AL_.jpg","Action, Adventure, Comedy",tt3794354,Sonic the Hedgehog,6.5,2020,"After discovering a small, blue, fast hedgehog, a small-town police officer must help him defeat an evil genius who wants to do experiments on him.",movie
"https://m.media-amazon.com/images/M/MV5BOGVlOGFjNzQtOTI4Yy00Mjk4LWFmNzEtYzNkZjRmMWMxZTMzXkEyXkFqcGdeQXVyOTUwMjEyNQ@@._V1_UY268_CR151,0,182,268_AL_.jpg","Action, Adventure, Fantasy",tt7215646,The Dark Tower,7.8,2020,TV pilot based on Stephen King's 'Dark Tower' series.,tvMovie
"https://m.media-amazon.com/images/M/MV5BZjJmMDg1NjctYjgwMy00ZTc2LWFmNGYtNzI2NTk3NmM0MTI2XkEyXkFqcGdeQXVyNzczNzc4NjU@._V1_UX182_CR0,0,182,268_AL_.jpg","Action, Music",tt12355912,The Matrix: Reborn,6.6,2020,,tvMovie
"https://m.media-amazon.com/images/M/MV5BZjA3YmI2YzgtYzkzNi00MTM1LWJhNTAtZjg0ZDQyYjliYzMyXkEyXkFqcGdeQXVyMzM0OTc4NQ@@._V1_UY268_CR16,0,182,268_AL_.jpg","Action, Sci-Fi",tt5518714,Ratnik,7.7,2020,"Ratnik, is the story of a World War III soldier returning home after a quarterly phase rotation programme, only to find out that her home front has now descended into some kind of chaos. ...",movie
"https://m.media-amazon.com/images/M/MV5BMjMwZjk5Y2MtNjkxZC00NjI4LTllNmEtN2ZlMjliODlkNWI4XkEyXkFqcGdeQXVyMjMzNTExMDM@._V1_UX182_CR0,0,182,268_AL_.jpg",Action,tt8011654,Zeke,7.0,2020,"In a city filled with desolation and faithlessness overturned by gang bangers and police corruption. A stranger ZEKE (protagonist) bursting on the scene to deliver hope, restoration, and a warning of imminent destruction",movie
"https://m.media-amazon.com/images/M/MV5BYjIzOGNlYzQtZmE1NS00MzllLTlkNzMtMDRmNDk5YTJlOGU4XkEyXkFqcGdeQXVyMzE4MTA1NzI@._V1_UX182_CR0,0,182,268_AL_.jpg","Action, Crime, Drama",tt2771280,Iris,6.1,2020,"Carson, a genius engineer, creates incredibly powerful technology only to have his thief ex-girlfriend Charlotte steal it and give it to the wrong people. Now, he must enlist her help to get it back. Turns out it's not that simple.",movie
"https://m.media-amazon.com/images/M/MV5BMDdiM2UwYTctYmRlZi00YmE4LTlhZTAtODhmYjFiMGFlMDcyXkEyXkFqcGdeQXVyMTQ2OTU2OTQ@._V1_UY268_CR5,0,182,268_AL_.jpg","Action, Adventure, Drama",tt3380766,King's Gambit,6.6,2020,"King's Gambit is an Independent, live-action feature film set in present-day Florida about Bryce, a man who uses a mystic journal to alter the world around him.",movie
"https://m.media-amazon.com/images/M/MV5BMjI3Mzg1MzE0NF5BMl5BanBnXkFtZTgwNTExMjY4NjE@._V1_UX182_CR0,0,182,268_AL_.jpg","Action, Comedy, Horror",tt2920782,Darksyde (Hell Walks the Earth 2),6.9,2020,The second day of the curse that has fallen on the small town of Darksyde,movie
,"Action, Drama, Mystery",tt12648734,The Shoreline,7.6,2020,"When a deadly outbreak spreads across an isolated island, the survivors, who have lost everything, must find a way to escape the virus filled island while survival on the island becomes threatened and while a dark secret unravels.",movie
,"Action, Adventure, Animation",tt12692980,Thomas & Friends: Marvelous Machinery,6.1,2020,,movie
,"Action, Adventure, Documentary",tt8999972,Dave Not Coming Back,7.1,2020,"Two high level scuba-divers and long-time friends, Don and Dave, broke a world record for depth in the Boesmansgat cave in South Africa. It would take them 15 minutes to reach the bottom, ...",movie
"https://m.media-amazon.com/images/M/MV5BMjdjM2JjYTUtODQwYS00M2UyLTkzM2YtMzA5Zjk4MzRkODE4XkEyXkFqcGdeQXVyMTk2NTA3MjU@._V1_UY268_CR87,0,182,268_AL_.jpg","Action, Comedy",tt12764048,Steve-O: Gnarly,6.6,2020,"After a long trip duct taped on the side of a truck from Vegas to Colorado, Steve-O and friends go over his epic life, and the gnarly stunts he has done to get there. Stunts are over the top shock-value but its Steve-O what do you expect?",tvMovie
"https://m.media-amazon.com/images/M/MV5BNWMwYzdkNjctMjBmYi00ZmJhLTk0ZTItMTdkMTAzYTVjOWJmXkEyXkFqcGdeQXVyOTAyMDQ0NDY@._V1_UY268_CR9,0,182,268_AL_.jpg","Action, Adventure, Drama",tt4820546,The Wilderness Night,6.5,2020,A man fights through his own psychological and spiritual madness when his guilty past is shadowed by a religious Cult Leader.,movie
"https://m.media-amazon.com/images/M/MV5BZmU1ZWNlMGQtOTBkOS00ZGVkLWFmYWMtYTBkZmZmZTYxN2RjXkEyXkFqcGdeQXVyMjEzMjU1MTE@._V1_UY268_CR6,0,182,268_AL_.jpg","Action, Comedy, Horror",tt9772374,Bloody Hell,6.5,2020,"A man with a mysterious past flees the country to escape his own personal hell - only to arrive somewhere much, much worse.",movie
"https://m.media-amazon.com/images/M/MV5BZjgzNTczMjQtNTFjNS00Mzc1LTg3ODktYTNiZGE0NmMzMDk2XkEyXkFqcGdeQXVyNTc3NDM4Njc@._V1_UY268_CR4,0,182,268_AL_.jpg","Action, Adventure, Comedy",tt12814530,"Theoretically, a paranoid conspiratorial phone call",7.6,2020,"When it is the time to shape reality, the spy world calls The Pro Bono Spy Hunter.",movie
"https://m.media-amazon.com/images/M/MV5BZDU1YjBjZjUtODJkYi00ZTdlLTg5ZDgtYTJiMTY3YmRmMDY5XkEyXkFqcGdeQXVyMjUzMDc3Njg@._V1_UX182_CR0,0,182,268_AL_.jpg","Action, Horror, Thriller",tt10176540,Force to Fear,7.6,2020,"Two kidnappers, a dealer, a group of college kids, and a killer converge in an abandoned school. Once they cross paths, chaos ensues, and it's a race to survive the night.",movie
"https://m.media-amazon.com/images/M/MV5BMWQ4MzUyZDQtNmY0OC00ZjUyLTljZDMtYTYwM2U1ZjE3MTE3XkEyXkFqcGdeQXVyNDU4NzA4NDk@._V1_UX182_CR0,0,182,268_AL_.jpg","Action, Adventure, Animation",tt12876132,Deathstroke: Knights & Dragons - The Movie,6.3,2020,Deathstroke plays the hero in the latest DC Universe adventure from Warner Bros.,movie
,"Action, Adventure, Comedy",tt2222042,Love and Monsters,6.9,2020,A young man learns how to survive a monster apocalypse with the help of an expert hunter.,movie
